Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 2,27.1575435412227*x_1**2 + 16.0723709507054*x_1 - 3.18718188154554,0.512490952,0.811508025,0.849719184,0.748672969,0.690692049,0.532816707,5,58.05819605
Linear Regression: Feature 2,71.85223762108514*x2 - 2.599851788516097,0.492649468,0.944315212,0.866838402,0.697255088,0.72055948,0.584785587,2,57.4952278
Feature(s): 2 7,42.5398058490562*x_1**2 + 17.2081562034842*x_1*x_2 + 7.83227395069506*x_1 + 1.73768305512762*x_2**2 - 3.68353528948662*x_2 - 0.226183490247706,0.581637129,0.744953341,0.787155711,0.772833997,0.596508653,0.506558844,13,54.7235563
Feature(s): 2 5,32.6490036668494*x_1**2 + 3.83945705341119*x_1*x_2 + 12.4803332497686*x_1 + 0.110082332330452*x_2**2 - 2.1331077130889*x_2 - 1.67829857347452,0.522924376,0.794729272,0.840577375,0.75823328,0.675770817,0.522584463,13,51.0578828
Feature(s): 2 3,10.7420472107225*x_1**2 + 29.8421086501157*x_1*x_2 + 4.01430328404989*x_1 + 20.721176077139*x_2**2 - 16.0804586968344*x_2 + 2.93144270729442,0.704025006,0.724998809,0.662081714,0.553275937,0.625091942,0.710359033,13,49.86504713
Feature(s): 2 6,26.1375285186451*x_1**2 - 2.14181401968892*x_1*x_2 + 18.5527973749486*x_1 + 0.0327341852709909*x_2**2 + 0.454861962678964*x_2 - 2.88933048290594,0.529125915,0.722868812,0.835096143,0.72263675,0.622310247,0.559735295,13,49.58813326
Feature(s): 1 2,0.0865637713544379*x_1**2 + 2.32462549252811*x_1*x_2 + 10.91584172189*x_1 + 15.5282849106898*x_2**2 + 20.7196944632964*x_2 - 4.72902792057895,0.515537019,0.7971324,0.847060405,0.72426811,0.659980865,0.558086776,13,48.99025648
Feature(s): 2,22.4128646039436*x_1**2 + 8.57080378893509*x_1 + 2.4705086*sin(4.579406*x_1 - 1.0120866) + 1.739189*cos(4.5918894*x_1 - 2.55933) + 0.388455312498226,0.515618925,0.809328542,0.846988798,0.745947795,0.680333395,0.535697622,15,48.078336
Feature(s): 2 4,11.3516591214275*x_1**2 + 5.06212851973073*x_1*x_2 + 15.7796767530343*x_1 + 0.562040370422643*x_2**2 + 3.90165602206786*x_2 - 3.48048584623006,0.517041962,0.780866858,0.845743722,0.704476259,0.661547062,0.577769247,13,48.07591103
Feature(s): 2 5 7,3.0775696762902*x_1 - 1.70090108621766*x_2 - 0.176308793856986*x_3 + 2.16621*(4.317914*x_1 - 0.14671855*x_2 + 1.0230273*x_3 + 0.25530842)*(4.366111*x_1 - 0.1270756*x_2 + 1.0097325*x_3 + 0.17693892) - 0.581399473567956,0.601019213,0.733316848,0.768705653,0.769119237,0.581024576,0.510683831,21,47.5069225
